,vertical_column_troposphere,day
0,3.66964332592709,2024-07-06
0,4.294738153016273,2024-07-07
0,1.9341443742222988,2024-07-08
0,2.0151287956188058,2024-07-09
0,4.010473713843721,2024-07-10
0,7.768354737621274,2024-07-11
0,3.7572524133785357,2024-07-12
0,3.1768476126866716,2024-07-13
0,2.8920430151230025,2024-07-14
0,3.459024672502935,2024-07-15
0,2.215063275117309,2024-07-16
0,3.165450881533834,2024-07-17
0,4.88428576871163,2024-07-18
0,3.6017527103638285,2024-07-19
0,2.6391054997330694,2024-07-20
0,4.42741621945474,2024-07-21
0,2.2448702548072497,2024-07-22
0,4.1070377926879456,2024-07-23
0,3.3095614891149494,2024-07-25
0,5.132572667526839,2024-07-26
0,2.3106754678443964,2024-07-27
0,2.364795236843878,2024-07-28
0,2.0851176853457156,2024-07-29
0,2.3244414639797766,2024-07-30
0,1.8529361759768066,2024-07-31
0,3.8302876521346363,2024-08-01
0,3.436806983296101,2024-08-02
0,8.295072675822771,2024-08-03
0,4.178083937536662,2024-08-04
0,3.835358768162021,2024-08-05
0,4.725804016145736,2024-08-06
0,3.5775413001025425,2024-08-07
0,3.655674719839426,2024-08-22
0,2.97339614238491,2024-08-23
0,2.070342824570204,2024-08-24
0,2.8209166423025485,2024-08-25
0,3.4857888506718684,2024-08-26
0,3.3750540886809923,2024-08-27
0,4.138593041687034,2024-08-28
0,4.352275398048315,2024-08-29
0,4.804418194721678,2024-08-30
0,2.8550433947881153,2024-08-31
0,3.088443138246247,2024-09-01
0,3.2297212769125543,2024-09-02
0,3.45593064754243,2024-09-03
0,3.2054820332500076,2024-09-04
0,4.319381810418565,2024-09-05
0,3.9975525415706286,2024-09-06
0,3.803699721450294,2024-09-07
0,2.883651143589904,2024-09-08
0,4.559131822240315,2024-09-09
0,3.6687919066285684,2024-09-10
0,6.89211824606241,2024-09-11
0,1.5558093111872613,2024-09-12
0,3.1553697341984,2024-09-13
0,3.0128138696460725,2024-09-14
0,3.515314161620142,2024-09-15
0,3.537248435124347,2024-09-16
0,3.296116016525848,2024-09-17
0,4.202940030092061,2024-09-18
0,3.4387147334357304,2024-09-19
0,3.9419787641632587,2024-09-20
0,3.719333165862556,2024-09-21
0,3.3651613992503226,2024-09-22
0,3.197095676307768,2024-09-23
0,3.854713401440563,2024-09-24
0,5.321252976173967,2024-09-25
0,2.93620641464288,2024-09-26
0,3.500012338127085,2024-09-27
0,2.724638667022828,2024-09-28
0,3.3334992242718804,2024-09-29
0,3.3955956149905466,2024-09-30
0,3.6776974205270694,2024-10-01
0,2.5324905375463596,2024-10-02
0,5.04111388327765,2024-10-03
0,6.836010206593865,2024-10-04
0,2.436003873902241,2024-10-05
0,3.295231368151994,2024-10-06
0,3.385179974023094,2024-10-07
0,4.11239931576351,2024-10-08
0,4.10333943417901,2024-10-09
0,3.4794034678783365,2024-10-10
0,4.195905094260124,2024-10-11
0,4.47830394744026,2024-10-12
0,2.70455946546793,2024-10-13
0,3.5544938648352504,2024-10-14
0,3.806917429424788,2024-10-15
0,1.8086595333902336,2024-10-16
0,2.0765228811517407,2024-10-17
0,2.2510025906422593,2024-10-18
0,1.8614327508409212,2024-10-19
0,1.81008725960321,2024-10-20
0,2.778422039448159,2024-10-21
0,4.66682084005626,2024-10-22
0,4.00143024584993,2024-10-23
0,4.072412464646108,2024-10-24
0,3.6466089392355254,2024-10-26
0,3.617238397604442,2024-10-27
0,3.546542995420081,2024-10-28
0,3.45090602449608,2024-10-29
0,3.2706057734615617,2024-10-30
0,5.333743814656377,2024-10-31
0,4.027833574667486,2024-11-01
0,3.8306528682731473,2024-11-02
0,2.72636466502139,2024-11-03
0,2.646941261285408,2024-11-04
0,2.455532766963244,2024-11-05
0,4.221167615626883,2024-11-06
0,4.213442968013587,2024-11-07
0,4.685830112102555,2024-11-08
0,2.986787177230692,2024-11-09
0,2.5648736808753125,2024-11-10
0,1.938053440291304,2024-11-11
0,3.3376218158150217,2024-11-12
0,3.444857942774736,2024-11-13
0,2.63823732860679,2024-11-14
0,2.617749009656942,2024-11-15
0,3.590449264062382,2024-11-16
0,3.231586556301632,2024-11-17
0,3.025551727985159,2024-11-18
0,3.559180630904572,2024-11-19
0,3.258691057180635,2024-11-20
0,3.176401968607109,2024-11-21
0,3.741415619669544,2024-11-22
0,5.300007963799223,2024-11-23
0,3.2469594480619066,2024-11-24
0,2.025804596845355,2024-11-25
0,3.9539171047671275,2024-11-26
0,2.7793028134815354,2024-11-27
0,5.354632729616382,2024-11-28
0,2.597059778824832,2024-11-29
